,DATE,TEC
451,2020-10-17 16:45:00,112
452,2020-10-17 17:00:00,115
453,2020-10-17 17:15:00,96
454,2020-10-17 17:30:00,126
455,2020-10-17 17:45:00,146
456,2020-10-17 18:00:00,160
457,2020-10-17 18:15:00,172
458,2020-10-17 18:30:00,167
459,2020-10-17 18:45:00,179
460,2020-10-17 19:00:00,187
461,2020-10-17 19:15:00,175
462,2020-10-17 19:30:00,161
463,2020-10-17 19:45:00,148
464,2020-10-17 20:00:00,153
465,2020-10-17 20:15:00,148
466,2020-10-17 20:30:00,151
467,2020-10-17 20:45:00,157
468,2020-10-17 21:00:00,136
469,2020-10-17 21:15:00,140
470,2020-10-17 21:30:00,144
471,2020-10-17 21:45:00,129
472,2020-10-17 22:00:00,120
473,2020-10-17 22:15:00,108
474,2020-10-17 22:30:00,106
475,2020-10-17 22:45:00,118
476,2020-10-17 23:00:00,114
477,2020-10-17 23:15:00,126
478,2020-10-17 23:30:00,152
479,2020-10-17 23:45:00,160
480,2020-10-18 00:00:00,172
481,2020-10-18 00:15:00,175
482,2020-10-18 00:30:00,156
483,2020-10-18 00:45:00,119
484,2020-10-18 01:00:00,123
485,2020-10-18 01:15:00,102
486,2020-10-18 01:30:00,89
487,2020-10-18 01:45:00,92
488,2020-10-18 02:00:00,96
489,2020-10-18 02:15:00,91
490,2020-10-18 02:30:00,88
491,2020-10-18 02:45:00,77
492,2020-10-18 03:00:00,82
493,2020-10-18 03:15:00,92
494,2020-10-18 03:30:00,105
495,2020-10-18 03:45:00,92
496,2020-10-18 04:00:00,76
497,2020-10-18 04:15:00,91
498,2020-10-18 04:30:00,97
499,2020-10-18 04:45:00,94
500,2020-10-18 05:00:00,98
501,2020-10-18 05:15:00,80
502,2020-10-18 05:30:00,81
503,2020-10-18 05:45:00,89
504,2020-10-18 06:00:00,97
505,2020-10-18 06:15:00,91
506,2020-10-18 06:30:00,90
507,2020-10-18 06:45:00,93
508,2020-10-18 07:00:00,107
509,2020-10-18 07:15:00,114
510,2020-10-18 07:30:00,110
511,2020-10-18 07:45:00,104
512,2020-10-18 08:00:00,86
513,2020-10-18 08:15:00,64
514,2020-10-18 08:30:00,76
515,2020-10-18 08:45:00,82
516,2020-10-18 09:00:00,90
517,2020-10-18 09:15:00,95
518,2020-10-18 09:30:00,93
519,2020-10-18 09:45:00,91
520,2020-10-18 10:00:00,109
521,2020-10-18 10:15:00,108
522,2020-10-18 10:30:00,109
523,2020-10-18 10:45:00,119
524,2020-10-18 11:00:00,102
525,2020-10-18 11:15:00,67
526,2020-10-18 11:30:00,75
527,2020-10-18 11:45:00,79
